"ICD10","ICD10Descr"
"I712","Thoracic aortic aneurysm, without rupture"
"I7041","Athscl autologous vein bypass of the extrm w intrmt claud"
"I70618","Athscl nonbiol bypass of the extrm w intrmt claud, oth extrm"
"Z9582","Presence of other vascular implants and grafts"
"I70712","Athscl type of bypass of the extrm w intrmt claud, left leg"
"I70721","Athscl type of bypass of the extrm w rest pain, right leg"
"I70608","Unsp athscl nonbiol bypass of the extremities, oth extremity"
"I70511","Athscl nonaut bio bypass of extrm w intrmt claud, right leg"
"I7100","Dissection of unspecified site of aorta"
"I70733","Athscl type of bypass of the right leg w ulceration of ankle"
"I70562","Athscl nonaut bio bypass of the extrm w gangrene, left leg"
"I70245","Athscl native arteries of left leg w ulceration oth prt foot"
"I792",
"Z959","Presence of cardiac and vascular implant and graft, unsp"
"I70329","Athscl unsp type bypass of the extrm w rest pain, unsp extrm"
"I70628","Athscl nonbiol bypass of the extrm w rest pain, oth extrm"
"I70603","Unsp athscl nonbiol bypass of the extrm, bilateral legs"
"I70461","Athscl autol vein bypass of the extrm w gangrene, right leg"
"I7061","Athscl nonbiol bypass of the extremities w intrmt claud"
"I70262","Athscl native arteries of extremities w gangrene, left leg"
"I70541","Athscl nonaut bio bypass of the left leg w ulcer of thigh"
"I70629","Athscl nonbiol bypass of the extrm w rest pain, unsp extrm"
"I7024","Atherosclerosis of native arteries of left leg w ulceration"
"I7051","Athscl nonaut bio bypass of the extremities intrmt claud"
"I70663","Athscl nonbiol bypass of the extrm w gangrene, bi legs"
"I7063","Athscl nonbiological bypass of the right leg w ulceration"
"I706","Athscl nonbiological bypass graft(s) of the extremities"
"I7070","Unsp athscl type of bypass graft(s) of the extremities"
"I70411","Athscl autol vein bypass of extrm w intrmt claud, right leg"
"I709","Other and unspecified atherosclerosis"
"I70543","Athscl nonaut bio bypass of the left leg w ulcer of ankle"
"I7102","Dissection of abdominal aorta"
"I70549","Athscl nonaut bio bypass of left leg w ulcer of unsp site"
"I714","Abdominal aortic aneurysm, without rupture"
"I70309","Unsp athscl unsp type bypass of the extrm, unsp extremity"
"I713","Abdominal aortic aneurysm, ruptured"
"I70539","Athscl nonaut bio bypass of right leg w ulcer of unsp site"
"I70422","Athscl autol vein bypass of the extrm w rest pain, left leg"
"I70435","Athscl autol vein bypass of right leg w ulcer oth prt foot"
"I70691","Oth athscl nonbiol bypass of the extremities, right leg"
"I70321","Athscl unsp type bypass of the extrm w rest pain, right leg"
"I70263","Athscl native arteries of extrm w gangrene, bilateral legs"
"I7040","Unsp athscl autologous vein bypass of the extremities"
"I7073","Athscl type of bypass graft(s) of the right leg w ulceration"
"I70632","Athscl nonbiol bypass of the right leg w ulceration of calf"
"I70592","Oth athscl nonaut bio bypass of the extremities, left leg"
"I70408","Unsp athscl autol vein bypass of the extrm, oth extremity"
"I7033","Athscl unsp type bypass of the right leg w ulceration"
"I70591","Oth athscl nonaut bio bypass of the extremities, right leg"
"I70661","Athscl nonbiol bypass of the extrm w gangrene, right leg"
"I7064","Athscl nonbiological bypass of the left leg w ulceration"
"I7032","Athscl unsp type bypass of the extremities w rest pain"
"I701","Atherosclerosis of renal artery"
"I70711","Athscl type of bypass of the extrm w intrmt claud, right leg"
"I70209","Unsp athscl native arteries of extremities, unsp extremity"
"I70503","Unsp athscl nonaut bio bypass of the extrm, bilateral legs"
"I70501","Unsp athscl nonaut bio bypass of the extremities, right leg"
"I70363","Athscl unsp type bypass of the extrm w gangrene, bi legs"
"I70521","Athscl nonaut bio bypass of the extrm w rest pain, right leg"
"Z95810","Presence of automatic (implantable) cardiac defibrillator"
"I70763","Athscl type of bypass of the extrm w gangrene, bi legs"
"I70293","Oth athscl native arteries of extremities, bilateral legs"
"I70423","Athscl autol vein bypass of the extrm w rest pain, bi legs"
"I70313","Athscl unsp type bypass of the extrm w intrmt claud, bi legs"
"I70509","Unsp athscl nonaut bio bypass of the extrm, unsp extremity"
"I70542","Athscl nonaut bio bypass of the left leg w ulcer of calf"
"I731","Thromboangiitis obliterans [Buerger's disease]"
"I70235","Athscl native arteries of right leg w ulcer oth prt foot"
"I70693","Oth athscl nonbiol bypass of the extremities, bilateral legs"
"I790","Aneurysm of aorta in diseases classified elsewhere"
"I70492","Oth athscl autologous vein bypass of the extrm, left leg"
"I7020","Unsp atherosclerosis of native arteries of extremities"
"I70598","Oth athscl nonaut bio bypass of the extrm, oth extremity"
"I70769","Athscl type of bypass of the extrm w gangrene, unsp extrm"
"I70742","Athscl type of bypass of the left leg w ulceration of calf"
"I70662","Athscl nonbiol bypass of the extrm w gangrene, left leg"
"I70219","Athscl native arteries of extrm w intrmt claud, unsp extrm"
"I70638","Athscl nonbiol bypass of right leg w ulcer oth prt low leg"
"I7031","Athscl unsp type bypass of the extremities w intrmt claud"
"I7029","Other atherosclerosis of native arteries of extremities"
"I70669","Athscl nonbiol bypass of the extrm w gangrene, unsp extrm"
"I70645","Athscl nonbiol bypass of the left leg w ulcer oth prt foot"
"I70619","Athscl nonbiol bypass of extrm w intrmt claud, unsp extrm"
"I7050","Unsp athscl nonautologous bio bypass of the extremities"
"I70319","Athscl unsp type bypass of extrm w intrmt claud, unsp extrm"
"I70362","Athscl unsp type bypass of the extrm w gangrene, left leg"
"I70413","Athscl autol vein bypass of extrm w intrmt claud, bi legs"
"I70738","Athscl type of bypass of right leg w ulcer oth prt low leg"
"I7053","Athscl nonaut bio bypass of the right leg w ulceration"
"I7023","Atherosclerosis of native arteries of right leg w ulceration"
"I70634","Athscl nonbiol bypass of right leg w ulcer of heel and midft"
"I7381","Erythromelalgia"
"I710","Dissection of aorta"
"I70403","Unsp athscl autol vein bypass of the extrm, bilateral legs"
"I70431","Athscl autol vein bypass of the right leg w ulcer of thigh"
"I70529","Athscl nonaut bio bypass of extrm w rest pain, unsp extrm"
"I70538","Athscl nonaut bio bypass of r leg w ulcer oth prt low leg"
"I70739","Athscl type of bypass of the right leg w ulcer of unsp site"
"I70544","Athscl nonaut bio bypass of left leg w ulc of heel and midft"
"I70418","Athscl autol vein bypass of extrm w intrmt claud, oth extrm"
"I7071","Athscl type of bypass of the extremities w intrmt claud"
"I7069","Oth athscl nonbiological bypass graft(s) of the extremities"
"I7062","Athscl nonbiological bypass of the extremities w rest pain"
"I70731","Athscl type of bypass of the right leg w ulceration of thigh"
"I70298","Oth athscl native arteries of extremities, oth extremity"
"I70708","Unsp athscl type of bypass of the extremities, oth extremity"
"I70768","Athscl type of bypass of the extrm w gangrene, oth extremity"
"I70369","Athscl unsp type bypass of the extrm w gangrene, unsp extrm"
"I70233","Athscl native arteries of right leg w ulceration of ankle"
"I70208","Unsp athscl native arteries of extremities, oth extremity"
"I70402","Unsp athscl autologous vein bypass of the extrm, left leg"
"I70449","Athscl autol vein bypass of left leg w ulcer of unsp site"
"I70722","Athscl type of bypass of the extrm w rest pain, left leg"
"I70644","Athscl nonbiol bypass of left leg w ulcer of heel and midft"
"I70642","Athscl nonbiol bypass of the left leg w ulceration of calf"
"I7042","Athscl autologous vein bypass of the extremities w rest pain"
"I70343","Athscl unsp type bypass of the left leg w ulcer of ankle"
"I70508","Unsp athscl nonaut bio bypass of the extrm, oth extremity"
"I7072","Athscl type of bypass of the extremities w rest pain"
"I70399","Oth athscl unsp type bypass of the extrm, unsp extremity"
"I70334","Athscl unsp type bypass of r leg w ulcer of heel and midft"
"I70611","Athscl nonbiol bypass of the extrm w intrmt claud, right leg"
"I7079","Oth athscl type of bypass graft(s) of the extremities"
"I70368","Athscl unsp type bypass of the extrm w gangrene, oth extrm"
"I70692","Oth athscl nonbiological bypass of the extremities, left leg"
"I70303","Unsp athscl unsp type bypass of the extrm, bilateral legs"
"I70432","Athscl autol vein bypass of the right leg w ulcer of calf"
"I70599","Oth athscl nonaut bio bypass of the extrm, unsp extremity"
"I70302","Unsp athscl unsp type bypass of the extremities, left leg"
"I70221","Athscl native arteries of extremities w rest pain, right leg"
"I7034","Athscl unsp type bypass of the left leg w ulceration"
"I70291","Oth athscl native arteries of extremities, right leg"
"I70534","Athscl nonaut bio bypass of r leg w ulcer of heel and midft"
"I70292","Oth athscl native arteries of extremities, left leg"
"I70522","Athscl nonaut bio bypass of the extrm w rest pain, left leg"
"I7091","Generalized atherosclerosis"
"I70212","Athscl native arteries of extrm w intrmt claud, left leg"
"I7092","Chronic total occlusion of artery of the extremities"
"I7389","Other specified peripheral vascular diseases"
"I70433","Athscl autol vein bypass of the right leg w ulcer of ankle"
"I70548","Athscl nonaut bio bypass of left leg w ulcer oth prt low leg"
"I70602","Unsp athscl nonbiol bypass of the extremities, left leg"
"I70444","Athscl autol vein bypass of left leg w ulc of heel and midft"
"I7075","Athscl type of bypass graft(s) of extremity w ulceration"
"I70391","Oth athscl unsp type bypass of the extremities, right leg"
"I70744","Athscl type of bypass of left leg w ulcer of heel and midft"
"I6020","Ntrm subarach hemor from unsp anterior communicating artery"
"I69152","Hemiplga following ntrm intcrbl hemor aff left dominant side"
"I69934","Monoplg upr lmb fol unsp cerebvasc dis aff left nondom side"
"I677","Cerebral arteritis, not elsewhere classified"
"I6910","Unsp sequelae of nontraumatic intracerebral hemorrhage"
"I69054","Hemiplga following ntrm subarach hemor aff left nondom side"
"I609","Nontraumatic subarachnoid hemorrhage, unspecified"
"I659","Occlusion and stenosis of unspecified precerebral artery"
"I613","Nontraumatic intracerebral hemorrhage in brain stem"
"I69052","Hemiplga fol ntrm subarach hemor aff left dominant side"
"I601","Ntrm subarachnoid hemorrhage from middle cerebral artery"
"G466","Pure sensory lacunar syndrome"
"I615","Nontraumatic intracerebral hemorrhage, intraventricular"
"I69892","Facial weakness following other cerebrovascular disease"
"I69391","Dysphagia following cerebral infarction"
"I6323","Cerebral infrc due to unsp occls or stenosis of carotid art"
"I602","Ntrm subarach hemorrhage from anterior communicating artery"
"I632","Cerebral infrc due to unsp occls or stenosis of precerb art"
"I69928","Oth speech/lang deficits following unsp cerebvasc disease"
"I663","Occlusion and stenosis of cerebellar arteries"
"I63211","Cereb infrc due to unsp occls or stenos of right verteb art"
"I6341","Cerebral infrc due to embolism of middle cerebral artery"
"I678","Other specified cerebrovascular diseases"
"I69241","Monoplg low lmb fol oth ntrm intcrn hemor aff right dom side"
"G45","Transient cerebral ischemic attacks and related syndromes"
"I69953","Hemiplga fol unsp cerebvasc disease aff right nondom side"
"I6012","Ntrm subarach hemorrhage from left middle cerebral artery"
"I6905","Hemiplga following nontraumatic subarachnoid hemorrhage"
"I63321","Cerebral infrc due to thombos of right ant cerebral artery"
"I670","Dissection of cerebral arteries, nonruptured"
"I6343","Cerebral infrc due to embolism of posterior cerebral artery"
"I688","Oth cerebrovascular disorders in diseases classd elswhr"
"I69220","Aphasia following other nontraumatic intracranial hemorrhage"
"I69232","Monoplg upr lmb fol oth ntrm intcrn hemor aff left dom side"
"I6300","Cerebral infarction due to thombos unsp precerebral artery"
"I69049","Monoplg low lmb following ntrm subarach hemor aff unsp side"
"I63","Cerebral infarction"
"I69854","Hemiplga fol oth cerebvasc disease aff left nondom side"
"I63541","Cereb infrc due to unsp occls or stenos of right cereblr art"
"I608","Other nontraumatic subarachnoid hemorrhage"
"I69849","Monoplg low lmb fol oth cerebvasc disease aff unsp side"
"I63429","Cerebral infrc due to embolism of unsp ant cerebral artery"
"I69331","Monoplg upr lmb fol cerebral infrc aff right dominant side"
"I69253","Hemiplga fol oth ntrm intcrn hemor aff right nondom side"
"I69369","Oth paralytic syndrome fol cerebral infrc aff unsp side"
"I69139","Monoplg upr lmb following ntrm intcrbl hemor aff unsp side"
"I69149","Monoplg low lmb following ntrm intcrbl hemor aff unsp side"
"I69290","Apraxia following other nontraumatic intracranial hemorrhage"
"I63441","Cerebral infarction due to embolism of right cereblr artery"
"I6784","Cerebral vasospasm and vasoconstriction"
"I63119","Cerebral infarction due to embolism of unsp vertebral artery"
"I69134","Monoplg upr lmb fol ntrm intcrbl hemor aff left nondom side"
"I6329","Cerebral infrc due to unsp occls or stenosis of precerb art"
"I68","Cerebrovascular disorders in diseases classified elsewhere"
"I6031","Ntrm subarach hemor from right post communicating artery"
"G465","Pure motor lacunar syndrome"
"I69349","Monoplg low lmb following cerebral infrc affecting unsp side"
"I69039","Monoplg upr lmb following ntrm subarach hemor aff unsp side"
"I6999","Other sequelae of unspecified cerebrovascular disease"
"I6982","Speech/lang deficits following oth cerebrovascular disease"
"I63439","Cerebral infrc due to embolism of unsp post cerebral artery"
"I69343","Monoplg low lmb fol cerebral infrc aff right nondom side"
"I69821","Dysphasia following other cerebrovascular disease"
"I69864","Oth parlyt synd fol oth cerebvasc dis aff left nondom side"
"I63132","Cerebral infarction due to embolism of left carotid artery"
"H3402","Transient retinal artery occlusion, left eye"
"I69321","Dysphasia following cerebral infarction"
"I611","Nontraumatic intcrbl hemorrhage in hemisphere, cortical"
"I69863","Oth parlyt synd fol oth cerebvasc dis aff right nondom side"
"I69891","Dysphagia following other cerebrovascular disease"
"I671","Cerebral aneurysm, nonruptured"
"I6935","Hemiplegia and hemiparesis following cerebral infarction"
"I69028","Oth speech/lang deficits following ntrm subarach hemorrhage"
"I69333","Monoplg upr lmb fol cerebral infrc aff right nondom side"
"I6342","Cerebral infrc due to embolism of anterior cerebral artery"
"I69322","Dysarthria following cerebral infarction"
"I607","Nontraumatic subarachnoid hemorrhage from unsp intracran art"
"I63019","Cerebral infarction due to thombos unsp vertebral artery"
"I69823","Fluency disorder following other cerebrovascular disease"
"I6612","Occlusion and stenosis of left anterior cerebral artery"
"I6321","Cerebral infrc due to unsp occls or stenosis of verteb art"
"I6602","Occlusion and stenosis of left middle cerebral artery"
"I69123","Fluency disorder following nontraumatic intcrbl hemorrhage"
"I6902","Speech/lang deficits following ntrm subarachnoid hemorrhage"
"I6521","Occlusion and stenosis of right carotid artery"
"I612","Nontraumatic intracerebral hemorrhage in hemisphere, unsp"
"I63012","Cerebral infarction due to thrombosis of l verteb art"
"I69862","Oth parlyt synd fol oth cerebvasc disease aff left dom side"
"I692","Sequelae of other nontraumatic intracranial hemorrhage"
"I6621","Occlusion and stenosis of right posterior cerebral artery"
"I6990","Unspecified sequelae of unspecified cerebrovascular disease"
"I69949","Monoplg low lmb fol unsp cerebvasc disease aff unsp side"
"H340","Transient retinal artery occlusion"
"I6909","Other sequelae of nontraumatic subarachnoid hemorrhage"
"I6352","Cereb infrc due to unsp occls or stenos of ant cereb artery"
"I6993","Monoplg upr lmb following unsp cerebrovascular disease"
"I600","Ntrm subarach hemorrhage from carotid siphon and bifurcation"
"I69352","Hemiplga following cerebral infrc aff left dominant side"
"I63032","Cerebral infarction due to thrombosis of left carotid artery"
"I6002","Ntrm subarach hemorrhage from left carotid siphon and bifurc"
"I606","Nontraumatic subarachnoid hemorrhage from oth intracran art"
"I6309","Cerebral infarction due to thrombosis of precerebral artery"
"I6623","Occlusion and stenosis of bi posterior cerebral arteries"
"I63512","Cereb infrc d/t unsp occls or stenos of left mid cereb art"
"I651","Occlusion and stenosis of basilar artery"
"I662","Occlusion and stenosis of posterior cerebral artery"
"I69022","Dysarthria following nontraumatic subarachnoid hemorrhage"
"I638","Other cerebral infarction"
"I62","Other and unspecified nontraumatic intracranial hemorrhage"
"I69062","Oth parlyt synd fol ntrm subarach hemor aff left dom side"
"I6030","Ntrm subarach hemor from unsp posterior communicating artery"
"I6611","Occlusion and stenosis of right anterior cerebral artery"
"I69963","Oth parlyt synd fol unsp cerebvasc dis aff right nondom side"
"I69833","Monoplg upr lmb fol oth cerebvasc dis aff right nondom side"
"I6052","Nontraumatic subarachnoid hemorrhage from l verteb art"
"I69832","Monoplg upr lmb fol oth cerebvasc disease aff left dom side"
"I69961","Oth parlyt synd fol unsp cerebvasc dis aff right dom side"
"I63549","Cereb infrc due to unsp occls or stenos of unsp cereblr art"
"I69269","Oth parlyt syndrome fol oth ntrm intcrn hemor aff unsp side"
"I6032","Ntrm subarach hemor from left posterior communicating artery"
"I6984","Monoplg low lmb following oth cerebrovascular disease"
"I6996","Oth paralytic syndrome following unsp cerebvasc disease"
"I6622","Occlusion and stenosis of left posterior cerebral artery"
"I69252","Hemiplga fol oth ntrm intcrn hemor aff left dominant side"
"I69090","Apraxia following nontraumatic subarachnoid hemorrhage"
"I6931","Cognitive deficits following cerebral infarction"
"I604","Nontraumatic subarachnoid hemorrhage from basilar artery"
"I69342","Monoplg low lmb fol cerebral infrc aff left dominant side"
"I6923","Monoplg upr lmb following oth nontraumatic intcrn hemorrhage"
"I6339","Cerebral infarction due to thrombosis of oth cerebral artery"
"I69243","Monoplg low lmb fol oth ntrm intcrn hemor aff r nondom side"
"I690","Sequelae of nontraumatic subarachnoid hemorrhage"
"I669","Occlusion and stenosis of unspecified cerebral artery"
"I61","Nontraumatic intracerebral hemorrhage"
"I6901","Cognitive deficits following ntrm subarachnoid hemorrhage"
"I69962","Oth parlyt synd fol unsp cerebvasc disease aff left dom side"
"I69231","Monoplg upr lmb fol oth ntrm intcrn hemor aff right dom side"
"I69363","Oth parlyt syndrome fol cerebral infrc aff right nondom side"
"I618","Other nontraumatic intracerebral hemorrhage"
"I6939","Other sequelae of cerebral infarction"
"I69959","Hemiplga following unsp cerebvasc disease aff unsp side"
"I63031","Cerebral infrc due to thrombosis of right carotid artery"
"I6619","Occlusion and stenosis of unsp anterior cerebral artery"
"I69852","Hemiplga fol oth cerebvasc disease aff left dominant side"
"I69034","Monoplg upr lmb fol ntrm subarach hemor aff left nondom side"
"I60","Nontraumatic subarachnoid hemorrhage"
"I69362","Oth parlyt syndrome fol cereb infrc aff left dominant side"
"I6050","Nontraumatic subarachnoid hemorrhage from unsp verteb art"
"I63322","Cerebral infrc due to thombos of left ant cerebral artery"
"I69165","Oth paralytic syndrome following ntrm intcrbl hemor, bi"
"I610","Nontraumatic intcrbl hemorrhage in hemisphere, subcortical"
"I6319","Cerebral infarction due to embolism of precerebral artery"
"I69141","Monoplg low lmb fol ntrm intcrbl hemor aff right dom side"
"I69093","Ataxia following nontraumatic subarachnoid hemorrhage"
"I630","Cerebral infarction due to thrombosis of precerb arteries"
"I6523","Occlusion and stenosis of bilateral carotid arteries"
"I69233","Monoplg upr lmb fol oth ntrm intcrn hemor aff r nondom side"
"I679","Cerebrovascular disease, unspecified"
"I6930","Unspecified sequelae of cerebral infarction"
"I6353","Cereb infrc due to unsp occls or stenos of post cereb artery"
"I63339","Cerebral infrc due to thombos unsp posterior cerebral artery"
"I69951","Hemiplga fol unsp cerebvasc disease aff right dominant side"
"I65","Occls and stenosis of precerb art, not rslt in cereb infrc"
"I69234","Monoplg upr lmb fol oth ntrm intcrn hemor aff l nondom side"
"I6202","Nontraumatic subacute subdural hemorrhage"
"I69144","Monoplg low lmb fol ntrm intcrbl hemor aff left nondom side"
"I63312","Cerebral infrc due to thombos of left middle cerebral artery"
"I63212","Cereb infrc due to unsp occls or stenosis of left verteb art"
"I69965","Oth paralytic syndrome following unsp cerebvasc disease, bi"
"I63522","Cereb infrc d/t unsp occls or stenos of left ant cereb art"
"I69259","Hemiplga following oth ntrm intcrn hemor affecting unsp side"
"I658","Occlusion and stenosis of other precerebral arteries"
"I63419","Cereb infrc due to embolism of unsp middle cerebral artery"
"I63232","Cereb infrc due to unsp occls or stenos of left carotid art"
"I69943","Monoplg low lmb fol unsp cerebvasc dis aff right nondom side"
"I69993","Ataxia following unspecified cerebrovascular disease"
"I69043","Monoplg low lmb fol ntrm subarach hemor aff r nondom side"
"I69393","Ataxia following cerebral infarction"
"G461","Anterior cerebral artery syndrome"
"I69032","Monoplg upr lmb fol ntrm subarach hemor aff left dom side"
"I6311","Cerebral infarction due to embolism of vertebral artery"
"I6331","Cerebral infrc due to thrombosis of middle cerebral artery"
"I680","Cerebral amyloid angiopathy"
"I69132","Monoplg upr lmb fol ntrm intcrbl hemor aff left dom side"
"I69198","Other sequelae of nontraumatic intracerebral hemorrhage"
"I69990","Apraxia following unspecified cerebrovascular disease"
"I6000","Ntrm subarach hemorrhage from unsp carotid siphon and bifurc"
"I699","Sequelae of unspecified cerebrovascular diseases"
"I69065","Oth paralytic syndrome following ntrm subarach hemor, bi"
"I69143","Monoplg low lmb fol ntrm intcrbl hemor aff right nondom side"
"I63112","Cerebral infarction due to embolism of left vertebral artery"
"I69291","Dysphagia following oth nontraumatic intracranial hemorrhage"
"I63511","Cereb infrc d/t unsp occls or stenos of right mid cereb art"
"I6301","Cerebral infarction due to thrombosis of vertebral artery"
"I6601","Occlusion and stenosis of right middle cerebral artery"
"I652","Occlusion and stenosis of carotid artery"
"I6340","Cerebral infarction due to embolism of unsp cerebral artery"
"I69328","Oth speech/lang deficits following cerebral infarction"
"I6313","Cerebral infarction due to embolism of carotid artery"
"G463","Brain stem stroke syndrome"
"I63432","Cerebral infrc due to embolism of left post cerebral artery"
"I6509","Occlusion and stenosis of unspecified vertebral artery"
"I6022","Ntrm subarach hemor from left anterior communicating artery"
"I69251","Hemiplga fol oth ntrm intcrn hemor aff right dominant side"
"I69063","Oth parlyt synd fol ntrm subarach hemor aff r nondom side"
"I69839","Monoplg upr lmb fol oth cerebvasc disease aff unsp side"
"I63531","Cereb infrc d/t unsp occls or stenos of right post cereb art"
"I69092","Facial weakness following ntrm subarachnoid hemorrhage"
"I6629","Occlusion and stenosis of unsp posterior cerebral artery"
"I629","Nontraumatic intracranial hemorrhage, unspecified"
"I69242","Monoplg low lmb fol oth ntrm intcrn hemor aff left dom side"
"G462","Posterior cerebral artery syndrome"
"I6900","Unspecified sequelae of nontraumatic subarachnoid hemorrhage"
"I63231","Cereb infrc due to unsp occls or stenos of right carotid art"
"I650","Occlusion and stenosis of vertebral artery"
"I6333","Cerebral infrc due to thombos of posterior cerebral artery"
"I6001","Ntrm subarach hemor from right carotid siphon and bifurc"
"I69151","Hemiplga fol ntrm intcrbl hemor aff right dominant side"
"G460","Middle cerebral artery syndrome"
"I63329","Cerebral infrc due to thombos unsp anterior cerebral artery"
"I69249","Monoplg low lmb fol oth ntrm intcrn hemor aff unsp side"
"I6010","Ntrm subarach hemorrhage from unsp middle cerebral artery"
"I67841","Reversible cerebrovascular vasoconstriction syndrome"
"I69859","Hemiplga following oth cerebvasc disease affecting unsp side"
"I6933","Monoplegia of upper limb following cerebral infarction"
"I63011","Cerebral infarction due to thrombosis of r verteb art"
"I69865","Oth paralytic syndrome following oth cerebvasc disease, bi"
"I6921","Cognitive deficits following oth ntrm intcrn hemorrhage"
"I69169","Oth paralytic syndrome fol ntrm intcrbl hemor aff unsp side"
"I6995","Hemiplga following unsp cerebrovascular disease"
"I63431","Cerebral infrc due to embolism of right post cerebral artery"
"I69922","Dysarthria following unspecified cerebrovascular disease"
"I69844","Monoplg low lmb fol oth cerebvasc dis aff left nondom side"
"I69361","Oth parlyt syndrome fol cereb infrc aff right dominant side"
"I6303","Cerebral infarction due to thrombosis of carotid artery"
"I616","Nontraumatic intracerebral hemorrhage, multiple localized"
"I69944","Monoplg low lmb fol unsp cerebvasc dis aff left nondom side"
"I633","Cerebral infarction due to thrombosis of cerebral arteries"
"I6926","Oth paralytic syndrome following oth ntrm intcrn hemorrhage"
"I63332","Cerebral infrc due to thombos of left post cerebral artery"
"H3401","Transient retinal artery occlusion, right eye"
"I64",
"I6201","Nontraumatic acute subdural hemorrhage"
"I67848","Other cerebrovascular vasospasm and vasoconstriction"
"I69042","Monoplg low lmb fol ntrm subarach hemor aff left dom side"
"I69843","Monoplg low lmb fol oth cerebvasc dis aff right nondom side"
"I6989","Other sequelae of other cerebrovascular disease"
"I69334","Monoplg upr lmb fol cerebral infrc aff left nondom side"
"G459","Transient cerebral ischemic attack, unspecified"
"I69131","Monoplg upr lmb fol ntrm intcrbl hemor aff right dom side"
"I6322","Cerebral infrc due to unsp occls or stenosis of basilar art"
"I69159","Hemiplga following ntrm intcrbl hemor affecting unsp side"
"I69222","Dysarthria following oth nontraumatic intcrn hemorrhage"
"I6986","Oth paralytic syndrome following oth cerebrovascular disease"
"I69020","Aphasia following nontraumatic subarachnoid hemorrhage"
"I631","Cerebral infarction due to embolism of precerebral arteries"
"I69221","Dysphasia following oth nontraumatic intracranial hemorrhage"
"I63529","Cereb infrc d/t unsp occls or stenos of unsp ant cereb art"
"I69392","Facial weakness following cerebral infarction"
"I6913","Monoplg upr lmb following nontraumatic intcrbl hemorrhage"
"I69190","Apraxia following nontraumatic intracerebral hemorrhage"
"I6603","Occlusion and stenosis of bilateral middle cerebral arteries"
"I63421","Cerebral infrc due to embolism of right ant cerebral artery"
"I620","Nontraumatic subdural hemorrhage"
"I69061","Oth parlyt synd fol ntrm subarach hemor aff right dom side"
"I69153","Hemiplga following ntrm intcrbl hemor aff right nondom side"
"I63139","Cerebral infarction due to embolism of unsp carotid artery"
"I605","Nontraumatic subarachnoid hemorrhage from vertebral artery"
"I69122","Dysarthria following nontraumatic intracerebral hemorrhage"
"I6312","Cerebral infarction due to embolism of basilar artery"
"I63311","Cereb infrc due to thombos of right middle cerebral artery"
"I69193","Ataxia following nontraumatic intracerebral hemorrhage"
"I6529","Occlusion and stenosis of unspecified carotid artery"
"I69023","Fluency disorder following ntrm subarachnoid hemorrhage"
"I69339","Monoplg upr lmb following cerebral infrc affecting unsp side"
"I69239","Monoplg upr lmb fol oth ntrm intcrn hemor aff unsp side"
"I69923","Fluency disorder following unsp cerebrovascular disease"
"I63449","Cerebral infarction due to embolism of unsp cereblr artery"
"I6994","Monoplg low lmb following unsp cerebrovascular disease"
"I6351","Cereb infrc due to unsp occls or stenos of middle cereb art"
"I69992","Facial weakness following unsp cerebrovascular disease"
"I635","Cerebral infrc due to unsp occls or stenosis of cerebral art"
"I69332","Monoplg upr lmb fol cerebral infrc aff left dominant side"
"I66","Occls and stenosis of cereb art, not rslt in cerebral infrc"
"I69051","Hemiplga fol ntrm subarach hemor aff right dominant side"
"I69098","Oth sequelae following nontraumatic subarachnoid hemorrhage"
"I63131","Cerebral infarction due to embolism of right carotid artery"
"H3400","Transient retinal artery occlusion, unspecified eye"
"I69969","Oth parlyt syndrome fol unsp cerebvasc disease aff unsp side"
"I69228","Oth speech/lang deficits following oth ntrm intcrn hemor"
"I69939","Monoplg upr lmb fol unsp cerebvasc disease aff unsp side"
"I69298","Other sequelae of other nontraumatic intracranial hemorrhage"
"I69254","Hemiplga fol oth ntrm intcrn hemor aff left nondom side"
"I69121","Dysphasia following nontraumatic intracerebral hemorrhage"
"I603","Ntrm subarach hemorrhage from posterior communicating artery"
"I69390","Apraxia following cerebral infarction"
"I69841","Monoplg low lmb fol oth cerebvasc disease aff right dom side"
"G46","Vascular syndromes of brain in cerebrovascular diseases"
"I674","Hypertensive encephalopathy"
"I63342","Cerebral infarction due to thrombosis of left cereblr artery"
"I69163","Oth parlyt synd fol ntrm intcrbl hemor aff right nondom side"
"I6911","Cognitive deficits following nontraumatic intcrbl hemorrhage"
"I6334","Cerebral infarction due to thrombosis of cerebellar artery"
"I6359","Cereb infrc due to unsp occls or stenosis of cerebral artery"
"I6985","Hemiplga following oth cerebrovascular disease"
"I63319","Cerebral infrc due to thombos unsp middle cerebral artery"
"I6981","Cognitive deficits following other cerebrovascular disease"
"I69265","Oth paralytic syndrome following oth ntrm intcrn hemor, bi"
"I69998","Other sequelae following unspecified cerebrovascular disease"
"I6781","Acute cerebrovascular insufficiency"
"I69853","Hemiplga fol oth cerebvasc disease aff right nondom side"
"I673","Progressive vascular leukoencephalopathy"
"I69021","Dysphasia following nontraumatic subarachnoid hemorrhage"
"I6992","Speech/lang deficits following unsp cerebrovascular disease"
"I69041","Monoplg low lmb fol ntrm subarach hemor aff right dom side"
"I6203","Nontraumatic chronic subdural hemorrhage"
"I63039","Cerebral infarction due to thrombosis of unsp carotid artery"
"I6991","Cognitive deficits following unsp cerebrovascular disease"
